#SYMBOL,SYSTEM,MOMENT,ID_DEAL,PRICE_DEAL,VOLUME,OPEN_POS,DIRECTION
RIH1,F,20110111100033253,255224168,178780.00000,1,292550,S
EDH1,F,20110111100033470,255224169,1.29520,10,142538,S
EDH1,F,20110111100033470,255224170,1.29500,7,142538,S
EDH1,F,20110111100033470,255224171,1.29500,1,142538,S
EDH1,F,20110111100033470,255224172,1.29500,20,142538,S
EDH1,F,20110111100033470,255224173,1.29490,10,142538,S
EDH1,F,20110111100033470,255224174,1.29490,1,142538,S
EDH1,F,20110111100033470,255224175,1.29480,1,142538,S
EDH1,F,20110111100033470,255224176,1.29470,75,142538,S
RIH1,F,20110111100033563,255224177,178760.00000,1,292552,S
RIH1,F,20110111100033563,255224178,178760.00000,1,292552,S
RIH1,F,20110111100033563,255224179,178755.00000,1,292552,S
RIH1,F,20110111100033690,255224180,178755.00000,2,292538,S
RIH1,F,20110111100033690,255224181,178755.00000,2,292538,S
RIH1,F,20110111100033690,255224182,178755.00000,1,292538,S
RIH1,F,20110111100033690,255224183,178755.00000,3,292538,S
RIH1,F,20110111100033690,255224184,178750.00000,1,292538,S
RIH1,F,20110111100033690,255224185,178745.00000,1,292538,S
BRF1,F,20110111100033707,255224186,95.02000,4,60382,S
SRH1,F,20110111100033970,255224187,10618.00000,6,649022,B
GZH1,F,20110111100033970,255224188,19630.00000,1,352504,S
GZH1,F,20110111100033970,255224189,19629.00000,1,352504,S
GZH1,F,20110111100033970,255224190,19629.00000,2,352504,S
GZH1,F,20110111100033970,255224191,19628.00000,6,352504,S
RIH1,F,20110111100033987,255224193,178750.00000,1,292538,S
RIH1,F,20110111100033987,255224194,178745.00000,1,292538,S
SVH1,F,20110111100034003,255224195,29.22000,1,8718,S
SVH1,F,20110111100034003,255224196,29.22000,9,8718,S
RIH1,F,20110111100034033,255224197,178745.00000,1,292536,S
GZH1,F,20110111100034063,255224198,19628.00000,7,352490,S
GZH1,F,20110111100034063,255224199,19624.00000,3,352490,S
EDH1,F,20110111100034097,255224200,1.29500,125,142538,S
GZH1,F,20110111100034157,255224201,19646.00000,6,352504,B
GZH1,F,20110111100034157,255224202,19646.00000,2,352504,B
GZH1,F,20110111100034157,255224203,19646.00000,2,352504,B
RNH1,F,20110111100034173,255224204,22104.00000,1,23552,B
EDH1,F,20110111100034313,255224205,1.29500,125,142538,S
RIH1,F,20110111100034393,255224206,178745.00000,1,292536,S
RIH1,F,20110111100034440,255224207,178745.00000,1,292536,S
